dataset,config,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
correlated,top-3,789,0.2494968852268478,0.2647564142834822,0.9838120751117864,0.9829258853689193,0.40058999348394037,0.41033945229368146,0.16419440601021051,0.00030916102696210146
correlated,top-5,789,0.24858091873877697,0.2642368962190395,0.9838715050990406,0.9829593890368444,0.39934949487296706,0.4099210090809113,0.26852814806625247,0.00030256796162575483
correlated,top-1,1024,0.2507265067893325,0.26400302913516843,0.9827700216870245,0.9825255798125958,0.4031695360250975,0.4160167552551209,0.06002508196979761,0.00033592095132917166
correlated,top-2,1024,0.24512152498681067,0.2649203355670392,0.983155197216085,0.9824648630924747,0.39955187747084847,0.4163012041575903,0.11478357808664441,0.00037249992601573467
correlated,top-3,1024,0.24311155970751316,0.26406375513452907,0.9832933224530838,0.9825215603449684,0.3985347762606585,0.4143643032243751,0.1731688599102199,0.00034244300331920385
correlated,top-5,1024,0.24290525145025255,0.26347172903951577,0.983307499999941,0.9825607466860496,0.39792569289921914,0.413876428674487,0.27826909197028726,0.00034984806552529335
irrelevant,top-1,42,0.26846520641588495,0.3691917643077147,0.993122872613461,0.990693981525432,0.4128824988713736,0.4752376772819504,0.08303230500314385,0.00039418996311724186
irrelevant,top-2,42,0.25699466830938217,0.34007178573523666,0.9934167071583679,0.9914279931821727,0.40339107395666585,0.46433570067656005,0.1472494649933651,0.0004115139599889517
irrelevant,top-3,42,0.2504458627666014,0.3294634259772354,0.9935844643532337,0.9916953924078242,0.3986934805856162,0.459084711793516,0.21565098699647933,0.0004008929245173931
irrelevant,top-5,42,0.2504458627666014,0.3294634259772354,0.9935844643532337,0.9916953924078242,0.3986934805856162,0.459084711793516,0.3534842770313844,0.0004514079773798585
irrelevant,top-1,123,0.26319838956950187,0.30353509765222114,0.9935258786625814,0.9919244905931,0.40888243048904005,0.43758550346814723,0.08457665692549199,0.0003947709919884801
irrelevant,top-2,123,0.25150648817549176,0.2792064785536216,0.9938134746027152,0.9925717501486085,0.40009081872945845,0.42131407550995176,0.15483708202373236,0.00040559202898293734
irrelevant,top-3,123,0.24328808233974714,0.27899903924769215,0.9940156299299867,0.992577269042731,0.3919040979959132,0.4238649543569678,0.22773902106564492,0.00040860800072550774
irrelevant,top-5,123,0.24328808233974714,0.27899903924769215,0.9940156299299867,0.992577269042731,0.3919040979959132,0.4238649543569678,0.37489053001627326,0.00045885297004133463
irrelevant,top-1,456,0.2757635058962144,0.34063926103616954,0.9931713900113325,0.9915959397421948,0.41710358833198213,0.46426893819413056,0.08085068501532078,0.00038896105252206326
irrelevant,top-2,456,0.2610503791544953,0.3113119957585189,0.9935357246752197,0.9923194855361831,0.40323345948694905,0.44144602367258573,0.15172387089114636,0.0003853640519082546
irrelevant,top-3,456,0.2632695279342019,0.3010439705662741,0.993480772873406,0.9925728124785379,0.4054670153638601,0.43436005206998596,0.22209149808622897,0.0003692239988595247
irrelevant,top-5,456,0.2632695279342019,0.3010439705662741,0.993480772873406,0.9925728124785379,0.4054670153638601,0.43436005206998596,0.36607228906359524,0.0003792520146816969
irrelevant,top-1,789,0.2761178105876331,0.3253182701829855,0.9930570367722709,0.990826229464013,0.416060427160858,0.45513898914787887,0.08240517601370811,0.00038897094782441854
irrelevant,top-2,789,0.26031761540875425,0.2967155028378538,0.9934543315859754,0.9916328095069071,0.4051116792076355,0.4348495574408592,0.15114817908033729,0.00039697508327662945
irrelevant,top-3,789,0.25868873187500313,0.2940502041290333,0.9934952897496412,0.991707969253548,0.40180509630900657,0.434522608715826,0.22350931097753346,0.0003708070144057274
irrelevant,top-5,789,0.25868873187500313,0.2940502041290333,0.9934952897496412,0.991707969253548,0.40180509630900657,0.434522608715826,0.36750656296499074,0.0003875379916280508
irrelevant,top-1,1024,0.26214158849942304,0.341811730595132,0.9932142231481725,0.9919805104860545,0.4047088735637119,0.4590603307665458,0.08106650097761303,0.00040343799628317356
irrelevant,top-2,1024,0.2502048025839636,0.32319453821503863,0.9935232178636392,0.992417301753608,0.39803157052644295,0.4469954061585597,0.1565286300610751,0.0004262510919943452
irrelevant,top-3,1024,0.24909705865707366,0.3118360837263383,0.9935518928371139,0.9926837905792201,0.3957407550945396,0.43983287461556425,0.23073309496976435,0.0003875280963256955
irrelevant,top-5,1024,0.24890847645551667,0.3185061401526957,0.993556774461374,0.9925272996142217,0.3950885156793521,0.4426546121507542,0.3787770610069856,0.00038327008951455355
interaction,top-1,42,0.43025023838298465,0.4411652941234044,0.9476516447826471,0.9486420062508746,0.46890533579606375,0.4697323269476946,0.05990620795637369,0.0003536340082064271
interaction,top-2,42,0.40383639309313435,0.4448740339846066,0.9508654055956242,0.9482102555190152,0.4658350049430386,0.4690750407774823,0.11954188800882548,0.00033203407656401396
interaction,top-3,42,0.40383639309313435,0.4448740339846066,0.9508654055956242,0.9482102555190152,0.4658350049430386,0.4690750407774823,0.1777776670642197,0.0003221851075068116
interaction,top-5,42,0.40383639309313435,0.4448740339846066,0.9508654055956242,0.9482102555190152,0.4658350049430386,0.4690750407774823,0.29173244710545987,0.00034257303923368454
