dataset,model,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
correlated,"ACGMT (top3, std)",456,0.2576893514297046,0.24692069755654453,0.9829366099323261,0.9840938583521597,0.40491135912494963,0.3956715471655546,2.509193799982313,0.005629700026474893
correlated,ACGMT (full),456,0.2658201809785147,0.24425485990959842,0.9823982116035036,0.9842655863265339,0.41199668134595563,0.39629434050537105,4.109742300002836,0.001400600012857467
correlated,Ridge,789,0.73186353404525,0.670411210882881,0.9525150307717261,0.9567652481789557,0.6310935218940659,0.6236643985670074,0.0050540000083856285,0.00059710000641644
correlated,CART,789,2.5728615283601592,2.798333875510858,0.8330668972841071,0.8195357287346008,1.283968319475272,1.3267926498622973,0.029746900021564215,0.0009183000074699521
correlated,RandomForest,789,1.8977819804954548,2.056943999259157,0.8768675924489663,0.8673478875738967,1.0828122744943367,1.128929599661335,2.3522907000151463,0.0355318000074476
correlated,GradientBoosting,789,0.20845111646001477,0.31480090733221083,0.9864752178647404,0.9796985210261865,0.3660529194393395,0.44840489423404145,3.2834586999961175,0.00342399999499321
correlated,RHM (original),789,0.27719171278058014,0.2902168978245834,0.9820151717643789,0.9812839413362506,0.42004613733561075,0.4315894911493223,2.5095642000087537,3.793193599965889
correlated,"ACGMT (top1, no-std)",789,0.27719171278058014,0.2902168978245834,0.9820151717643789,0.9812839413362506,0.42004613733561075,0.4315894911493223,1.0153358000097796,0.01034019998041913
correlated,"ACGMT (top3, std)",789,0.24949688522684782,0.2647564142834823,0.9838120751117864,0.9829258853689192,0.4005899934839405,0.41033945229368146,2.617896899988409,0.0053400000324472785
correlated,ACGMT (full),789,0.2525182799800038,0.2632284812445139,0.9836160401541665,0.983024421617518,0.40239337643979023,0.4105380518441594,4.45790759997908,0.0024575000279583037
correlated,Ridge,1024,0.7391498274601813,0.7989184881045271,0.9492054682998505,0.9471194046433595,0.6284677339586594,0.6542977600900997,0.003167000017128885,0.00046710000606253743
correlated,CART,1024,2.4797905470569797,2.7764036815774342,0.8295882717242435,0.816229212593996,1.2412027341136707,1.3227047258776552,0.031499399978201836,0.0009015999967232347
correlated,RandomForest,1024,1.8588400791959274,2.108447221964885,0.8722601185572051,0.8604414016752981,1.0714616158140975,1.152206833109332,2.525226700003259,0.03176809998694807
correlated,GradientBoosting,1024,0.19669839795958166,0.3132696094835336,0.9864828446962401,0.9792646137205625,0.3541003011406459,0.4499219217312954,3.309887700015679,0.005036999995354563
correlated,RHM (original),1024,0.2671676365576276,0.286442223234531,0.9816401837892447,0.9810403244818389,0.4148861787349172,0.4306012467120923,2.3078987999469973,3.79852850001771
correlated,"ACGMT (top1, no-std)",1024,0.2671676365576276,0.286442223234531,0.9816401837892447,0.9810403244818389,0.4148861787349172,0.4306012467120923,0.9016616999870166,0.005252200004179031
correlated,"ACGMT (top3, std)",1024,0.24311155970751322,0.26406375513452884,0.9832933224530838,0.9825215603449684,0.39853477626065853,0.4143643032243748,2.8324031999800354,0.0050215000519528985
correlated,ACGMT (full),1024,0.24830355694350342,0.2554570606069096,0.9829365273103495,0.9830912394016555,0.40153037770011285,0.4093548801586726,4.0788841000176035,0.001982599962502718
irrelevant,Ridge,42,1.7414024642844523,2.0196171222704016,0.9553914388460264,0.9490925961291562,0.9108267391775353,0.9672602999219095,0.006558900000527501,0.0009919999865815043
irrelevant,CART,42,6.8719847468774535,7.688228085581431,0.8239640989848843,0.8062069647320724,2.0854147136975607,2.2010874635393476,0.11913540004752576,0.0008096999954432249
irrelevant,RandomForest,42,4.747138593566925,5.350854377067017,0.8783951288684249,0.8651238881748041,1.6729028263758707,1.783813060292225,8.24924800003646,0.029991300019901246
irrelevant,GradientBoosting,42,0.23736355027680173,0.4823828680237086,0.9939195868471463,0.9878408341798703,0.38773499969993636,0.5386795005122451,4.2017926999833435,0.0014577999827452004
irrelevant,RHM (original),42,0.25519496898027944,0.3357607365839218,0.9934628090786464,0.9915366594822514,0.40392156919059513,0.4568002052274604,1.1143223000108264,1.7528064000071026
irrelevant,"ACGMT (top1, no-std)",42,0.2551949689802795,0.33576073658392175,0.9934628090786464,0.9915366594822516,0.4039215691905952,0.45680020522746034,0.4170280999969691,0.003354899992700666
irrelevant,"ACGMT (top3, std)",42,0.2504458627666014,0.32946342597723544,0.9935844643532337,0.9916953924078242,0.3986934805856162,0.459084711793516,1.2541226000175811,0.0021046000183559954
irrelevant,ACGMT (full),42,0.2664576074426171,0.3233663471023395,0.9931743001860115,0.9918490781996974,0.40888584346090634,0.45256385858215364,2.1950058999937028,0.0032642000005580485
irrelevant,Ridge,123,1.8825613743413423,1.8000849282330924,0.9536929888417682,0.9521089887673525,0.9489205797895053,0.9211307290012322,0.0030682000215165317,0.0003779999678954482
irrelevant,CART,123,6.877941566561274,7.592473175731746,0.8308172465400485,0.7980032983780084,2.088126368320774,2.191626359217492,0.06639489997178316,0.0004667000030167401
irrelevant,RandomForest,123,4.738999264442376,5.210612452643356,0.8834306839562326,0.8613723743893249,1.6959856069301644,1.8098969881360711,3.7135222000069916,0.05153029999928549
irrelevant,GradientBoosting,123,0.24327268328325966,0.4183577059958251,0.9940160087140679,0.9888696509354272,0.3911883290049834,0.5058046454493628,6.779453199997079,0.0022631000028923154
irrelevant,RHM (original),123,0.26601948458494096,0.31192477583333994,0.9934564857173425,0.9917012843622669,0.40703417225445837,0.4472114342935257,1.4904659999883734,2.0964649000088684
irrelevant,"ACGMT (top1, no-std)",123,0.2660194845849409,0.31192477583334005,0.9934564857173425,0.9917012843622669,0.40703417225445837,0.4472114342935257,0.4572351999813691,0.0024426999734714627
irrelevant,"ACGMT (top3, std)",123,0.24328808233974716,0.27899903924769215,0.9940156299299867,0.992577269042731,0.39190409799591314,0.4238649543569678,1.4231791999773122,0.0037361999857239425
irrelevant,ACGMT (full),123,0.2632452359966175,0.2938537005354922,0.9935247263399783,0.9921820628280501,0.4062709625708543,0.4362551532414123,2.2643132000230253,0.0016986000118777156
irrelevant,Ridge,456,1.8940232724954515,1.694473816960782,0.9530991376277368,0.9581948950344291,0.958044143785641,0.9232448085150896,0.0026378000038675964,0.0004548000288195908
irrelevant,CART,456,7.025347649476844,7.623138444904743,0.826034416783436,0.8119262158751328,2.1256858861100456,2.1615274005612646,0.057443799974862486,0.0006210000137798488
irrelevant,RandomForest,456,4.319626756769813,4.884004785422572,0.8930349890833809,0.879504580912821,1.6214318356034334,1.693693895370568,3.6761982000316493,0.010477400035597384
irrelevant,GradientBoosting,456,0.24170892551370304,0.48219846628865204,0.9940146685554029,0.988103470649319,0.3919960480703243,0.5371766839535723,6.326349399983883,0.0038887999835424125
irrelevant,RHM (original),456,0.26626237905389427,0.31137505067842447,0.9934066622220198,0.9923179298806641,0.41003887073452533,0.44692014585445383,1.277040999964811,1.5874093000311404
irrelevant,"ACGMT (top1, no-std)",456,0.2662623790538942,0.3113750506784245,0.9934066622220198,0.9923179298806641,0.4100388707345253,0.44692014585445394,0.44684430002234876,0.002336599980480969
irrelevant,"ACGMT (top3, std)",456,0.26326952793420194,0.3010439705662742,0.993480772873406,0.9925728124785379,0.4054670153638601,0.43436005206998596,1.2596291999798268,0.0026206999900750816
irrelevant,ACGMT (full),456,0.27509765312412143,0.30651549509153536,0.9931878782296546,0.9924378221028763,0.41699461007193767,0.44636078002300655,2.3722442999714985,0.002888499991968274
irrelevant,Ridge,789,1.5968541162744696,1.6105599731225753,0.9598472138188175,0.9545832220872152,0.891115112343686,0.9010768244861778,0.004511800012551248,0.0004684000159613788
irrelevant,CART,789,6.6328495358220145,6.794738156714135,0.833217457706675,0.8083926590819825,2.034799824348034,2.0615584776069746,0.05451220000395551,0.0004886999959126115
